match_id,date,team1,team2,venue,toss_winner,toss_decision,innings,batting_team,bowling_team,over,ball,batsman,bowler,runs,extras,total_runs,wicket,player_out,dismissal_type,striker_strike_rate,bowler_economy,match_result,winner
27,2023-04-07,SRH,CSK,Mumbai,CSK,bat,2,CSK,SRH,20,3,Player_28,Player_39,1,0,1,0,None,None,96.01,5.04,win,SRH
20,2023-04-19,DC,RCB,Delhi,DC,bat,2,RCB,DC,20,4,Player_8,Player_82,1,0,1,0,None,None,190.8,6.59,loss,RCB
48,2023-04-08,RCB,DC,Mumbai,RCB,bat,2,RCB,DC,12,4,Player_59,Player_1,4,0,4,0,None,None,124.84,9.36,loss,RCB
19,2023-04-02,RCB,LSG,Ahmedabad,LSG,field,1,LSG,RCB,20,4,Player_94,Player_31,2,1,3,0,None,None,91.85,8.48,loss,LSG
23,2023-05-18,LSG,KKR,Bangalore,KKR,field,2,LSG,KKR,6,6,Player_64,Player_74,3,1,4,0,None,None,60.54,6.23,loss,KKR
42,2023-05-28,GT,PBKS,Mumbai,PBKS,bat,2,GT,PBKS,12,6,Player_61,Player_98,2,2,4,0,None,None,74.12,8.43,loss,GT
53,2023-04-10,DC,SRH,Mumbai,SRH,field,2,SRH,DC,18,5,Player_21,Player_60,5,1,6,1,Player_33,caught,113.56,5.8,loss,DC
44,2023-04-16,RCB,SRH,Ahmedabad,SRH,bat,2,RCB,SRH,19,6,Player_21,Player_19,4,0,4,0,None,None,106.38,8.39,loss,SRH
8,2023-04-09,MI,SRH,Ahmedabad,SRH,field,2,SRH,MI,1,1,Player_35,Player_13,4,1,5,1,Player_35,bowled,62.46,5.55,loss,SRH
22,2023-05-14,KKR,RCB,Delhi,KKR,field,1,RCB,KKR,14,1,Player_42,Player_83,1,0,1,0,None,None,162.35,10.74,loss,KKR
28,2023-04-02,MI,GT,Mumbai,GT,field,2,GT,MI,12,5,Player_16,Player_24,1,1,2,0,None,None,126.71,6.83,win,MI
9,2023-04-10,GT,SRH,Mumbai,GT,field,2,GT,SRH,10,1,Player_94,Player_66,0,2,2,0,None,None,199.86,7.86,loss,SRH
9,2023-04-03,DC,KKR,Mumbai,KKR,field,2,DC,KKR,1,5,Player_97,Player_10,0,2,2,0,None,None,78.55,7.31,loss,DC
42,2023-05-12,GT,LSG,Delhi,GT,field,1,LSG,GT,16,1,Player_6,Player_9,0,0,0,0,None,None,166.25,9.94,loss,LSG
14,2023-05-15,PBKS,RR,Delhi,PBKS,bat,2,RR,PBKS,16,3,Player_48,Player_98,5,2,7,0,None,None,127.63,10.79,loss,RR
36,2023-04-25,KKR,SRH,Ahmedabad,KKR,bat,1,SRH,KKR,3,6,Player_14,Player_100,1,0,1,0,None,None,133.3,6.97,win,KKR
11,2023-05-01,PBKS,LSG,Bangalore,PBKS,bat,2,LSG,PBKS,10,5,Player_80,Player_87,1,2,3,0,None,None,89.82,10.26,win,LSG
43,2023-04-26,SRH,KKR,Bangalore,SRH,bat,1,SRH,KKR,12,5,Player_5,Player_26,5,2,7,0,None,None,54.17,11.68,win,KKR
72,2023-04-03,DC,RCB,Delhi,DC,field,1,RCB,DC,14,1,Player_88,Player_8,6,1,7,0,None,None,186.11,11.57,loss,DC
58,2023-05-15,CSK,MI,Mumbai,MI,bat,2,CSK,MI,16,1,Player_67,Player_60,2,0,2,0,None,None,71.22,10.31,loss,CSK
31,2023-05-02,RCB,RR,Mumbai,RCB,field,2,RR,RCB,5,4,Player_28,Player_4,1,2,3,0,None,None,161.82,9.37,loss,RCB
43,2023-04-30,LSG,DC,Ahmedabad,LSG,field,2,DC,LSG,20,6,Player_58,Player_45,5,2,7,0,None,None,122.4,8.16,loss,LSG
7,2023-05-11,KKR,GT,Bangalore,GT,bat,2,GT,KKR,8,1,Player_63,Player_6,4,0,4,0,None,None,151.53,9.05,win,GT
16,2023-04-18,GT,KKR,Delhi,GT,bat,2,KKR,GT,8,5,Player_88,Player_15,4,1,5,1,Player_100,bowled,161.85,5.5,win,KKR
31,2023-05-25,KKR,RCB,Delhi,RCB,bat,1,KKR,RCB,15,5,Player_99,Player_2,0,2,2,0,None,None,188.3,9.17,loss,RCB
21,2023-04-09,GT,DC,Chennai,DC,bat,2,GT,DC,18,5,Player_61,Player_80,5,0,5,0,None,None,53.31,9.62,loss,DC
10,2023-05-09,MI,GT,Bangalore,MI,field,1,MI,GT,10,6,Player_27,Player_79,0,2,2,0,None,None,106.75,6.73,win,GT
12,2023-04-23,KKR,DC,Chennai,KKR,bat,1,DC,KKR,12,3,Player_75,Player_19,4,0,4,0,None,None,89.17,10.74,loss,DC
41,2023-04-27,RCB,CSK,Mumbai,CSK,field,2,CSK,RCB,16,3,Player_7,Player_48,2,1,3,0,None,None,142.74,11.06,loss,RCB
37,2023-04-30,GT,RCB,Bangalore,GT,field,1,RCB,GT,15,3,Player_94,Player_17,2,1,3,0,None,None,125.05,5.49,loss,RCB
52,2023-05-04,GT,DC,Mumbai,GT,bat,2,GT,DC,9,6,Player_49,Player_44,5,1,6,0,None,None,120.96,6.38,loss,GT
5,2023-04-22,LSG,SRH,Mumbai,LSG,field,1,LSG,SRH,16,1,Player_16,Player_88,1,2,3,0,None,None,53.12,9.86,win,LSG
70,2023-04-10,MI,RR,Ahmedabad,MI,bat,2,RR,MI,19,2,Player_24,Player_41,6,1,7,0,None,None,192.55,6.43,win,RR
3,2023-05-27,RR,KKR,Delhi,KKR,bat,1,RR,KKR,20,2,Player_65,Player_15,6,1,7,0,None,None,185.9,9.25,win,KKR
36,2023-04-04,MI,LSG,Mumbai,LSG,field,1,MI,LSG,1,2,Player_92,Player_58,1,0,1,0,None,None,169.72,9.82,win,LSG
17,2023-05-08,DC,GT,Mumbai,DC,bat,2,DC,GT,3,6,Player_71,Player_95,4,2,6,0,None,None,97.56,6.86,win,GT
10,2023-05-15,MI,DC,Bangalore,DC,field,2,DC,MI,17,4,Player_39,Player_100,5,0,5,0,None,None,163.62,10.58,win,MI
11,2023-05-03,GT,RCB,Ahmedabad,RCB,field,2,GT,RCB,10,4,Player_96,Player_31,6,2,8,0,None,None,132.31,5.91,win,RCB
24,2023-04-08,RR,MI,Bangalore,RR,field,2,RR,MI,3,1,Player_20,Player_53,5,1,6,0,None,None,135.35,5.47,win,RR
54,2023-05-28,RR,CSK,Ahmedabad,CSK,field,1,CSK,RR,5,6,Player_91,Player_39,3,1,4,0,None,None,194.2,8.03,loss,CSK
15,2023-05-20,PBKS,LSG,Bangalore,PBKS,bat,2,LSG,PBKS,8,1,Player_12,Player_77,2,1,3,0,None,None,170.16,6.28,win,LSG
46,2023-05-05,RR,SRH,Chennai,RR,field,1,SRH,RR,11,1,Player_81,Player_57,0,2,2,0,None,None,93.57,9.63,loss,RR
2,2023-05-28,KKR,CSK,Delhi,CSK,bat,1,KKR,CSK,13,6,Player_91,Player_54,0,0,0,1,Player_82,caught,183.87,5.82,loss,KKR
59,2023-05-07,DC,RR,Mumbai,RR,bat,2,DC,RR,19,6,Player_80,Player_87,5,0,5,0,None,None,82.48,9.09,loss,RR
14,2023-04-29,GT,RCB,Delhi,GT,field,2,RCB,GT,1,1,Player_90,Player_56,0,2,2,0,None,None,162.91,8.63,loss,GT
29,2023-04-20,SRH,MI,Ahmedabad,MI,field,1,SRH,MI,5,1,Player_40,Player_64,2,0,2,0,None,None,135.66,6.95,win,SRH
37,2023-04-22,KKR,MI,Chennai,MI,bat,1,KKR,MI,1,3,Player_6,Player_64,6,2,8,0,None,None,122.85,10.19,win,KKR
13,2023-05-15,CSK,LSG,Ahmedabad,LSG,bat,2,CSK,LSG,8,1,Player_43,Player_23,6,1,7,0,None,None,194.76,7.97,win,LSG
38,2023-05-04,RCB,RR,Mumbai,RR,bat,1,RCB,RR,16,1,Player_38,Player_25,4,1,5,0,None,None,94.2,6.04,win,RCB
64,2023-05-12,DC,RCB,Ahmedabad,RCB,bat,1,DC,RCB,17,2,Player_82,Player_86,4,0,4,0,None,None,68.63,10.87,win,DC
38,2023-05-12,PBKS,DC,Ahmedabad,DC,field,1,PBKS,DC,5,6,Player_42,Player_33,2,0,2,0,None,None,67.34,5.74,loss,PBKS
63,2023-04-19,GT,DC,Bangalore,GT,bat,2,GT,DC,18,2,Player_77,Player_3,2,0,2,0,None,None,90.51,5.54,win,GT
37,2023-04-16,CSK,LSG,Bangalore,LSG,field,2,CSK,LSG,13,1,Player_61,Player_18,2,0,2,0,None,None,105.79,7.25,loss,LSG
42,2023-05-07,LSG,PBKS,Bangalore,LSG,field,1,PBKS,LSG,19,3,Player_61,Player_18,3,2,5,0,None,None,165.03,9.75,loss,PBKS
1,2023-05-15,MI,CSK,Bangalore,CSK,bat,1,MI,CSK,17,6,Player_83,Player_58,1,1,2,0,None,None,194.08,10.69,win,CSK
16,2023-05-29,DC,CSK,Mumbai,CSK,field,1,CSK,DC,18,4,Player_9,Player_53,3,2,5,0,None,None,81.44,9.11,win,CSK
57,2023-04-18,PBKS,DC,Bangalore,PBKS,field,1,DC,PBKS,12,1,Player_53,Player_38,1,2,3,0,None,None,197.25,11.27,win,PBKS
55,2023-05-03,RCB,SRH,Ahmedabad,SRH,bat,2,RCB,SRH,20,4,Player_98,Player_93,5,1,6,0,None,None,167.69,10.41,loss,RCB
2,2023-04-20,PBKS,MI,Chennai,PBKS,bat,2,MI,PBKS,6,1,Player_19,Player_6,5,0,5,0,None,None,105.6,7.75,loss,PBKS
37,2023-04-12,KKR,GT,Chennai,GT,field,1,KKR,GT,11,2,Player_9,Player_32,6,2,8,0,None,None,168.68,7.15,win,KKR
8,2023-05-18,RCB,RR,Delhi,RR,field,2,RR,RCB,5,6,Player_6,Player_99,3,0,3,0,None,None,123.92,5.93,win,RR
9,2023-04-03,DC,RCB,Ahmedabad,DC,bat,1,DC,RCB,3,3,Player_92,Player_97,3,2,5,0,None,None,112.07,11.06,loss,DC
34,2023-04-11,RCB,GT,Ahmedabad,GT,field,1,GT,RCB,20,6,Player_58,Player_23,6,2,8,0,None,None,187.88,6.31,win,RCB
39,2023-05-28,GT,PBKS,Bangalore,PBKS,field,2,GT,PBKS,12,4,Player_72,Player_67,5,1,6,0,None,None,150.27,7.84,win,GT
19,2023-04-12,PBKS,GT,Ahmedabad,GT,field,1,PBKS,GT,15,3,Player_47,Player_97,2,2,4,0,None,None,76.19,10.09,loss,GT
22,2023-04-28,SRH,PBKS,Ahmedabad,SRH,field,1,SRH,PBKS,12,4,Player_79,Player_96,4,0,4,0,None,None,193.92,10.12,win,PBKS
2,2023-05-16,DC,CSK,Mumbai,DC,field,2,CSK,DC,3,2,Player_99,Player_22,3,2,5,0,None,None,126.58,6.49,win,CSK
30,2023-04-17,RCB,PBKS,Delhi,PBKS,field,2,PBKS,RCB,5,1,Player_72,Player_77,3,1,4,0,None,None,136.32,9.01,loss,PBKS
20,2023-04-08,GT,RR,Mumbai,RR,field,2,RR,GT,8,4,Player_21,Player_97,0,0,0,0,None,None,57.86,7.91,win,RR
16,2023-05-23,DC,CSK,Delhi,CSK,field,1,DC,CSK,4,2,Player_53,Player_24,3,1,4,0,None,None,163.3,5.99,win,CSK
15,2023-04-27,GT,RR,Ahmedabad,GT,field,1,RR,GT,18,4,Player_49,Player_23,5,1,6,0,None,None,196.27,5.36,win,GT
67,2023-05-27,PBKS,CSK,Delhi,PBKS,field,1,CSK,PBKS,9,3,Player_79,Player_33,6,0,6,0,None,None,161.29,5.29,loss,CSK
37,2023-04-07,GT,PBKS,Delhi,PBKS,bat,1,PBKS,GT,1,2,Player_61,Player_35,4,0,4,0,None,None,53.07,8.45,win,GT
45,2023-05-02,GT,LSG,Bangalore,GT,bat,2,LSG,GT,18,3,Player_35,Player_4,4,1,5,0,None,None,70.85,7.88,loss,LSG
39,2023-04-25,RCB,RR,Chennai,RR,bat,2,RCB,RR,14,5,Player_13,Player_89,1,1,2,0,None,None,144.46,11.92,loss,RCB
63,2023-05-10,RR,KKR,Bangalore,RR,bat,1,KKR,RR,2,2,Player_64,Player_99,3,1,4,0,None,None,76.09,9.05,win,KKR
32,2023-05-25,RR,PBKS,Mumbai,RR,bat,2,PBKS,RR,6,2,Player_7,Player_10,4,1,5,0,None,None,132.66,7.3,loss,RR
23,2023-04-05,GT,CSK,Ahmedabad,CSK,bat,2,CSK,GT,11,2,Player_38,Player_33,4,2,6,0,None,None,131.58,6.27,loss,CSK
31,2023-05-18,MI,RCB,Chennai,MI,field,2,RCB,MI,4,6,Player_51,Player_58,6,2,8,0,None,None,84.59,5.57,loss,RCB
1,2023-04-08,LSG,RCB,Chennai,RCB,bat,2,RCB,LSG,7,1,Player_37,Player_87,2,1,3,0,None,None,179.8,5.09,loss,RCB
23,2023-05-20,KKR,RCB,Chennai,KKR,field,1,RCB,KKR,10,4,Player_56,Player_65,4,1,5,0,None,None,161.66,11.35,loss,RCB
13,2023-04-02,KKR,PBKS,Chennai,PBKS,bat,2,PBKS,KKR,6,1,Player_80,Player_18,1,1,2,0,None,None,94.88,10.87,loss,KKR
7,2023-05-20,SRH,MI,Ahmedabad,MI,field,1,MI,SRH,14,2,Player_48,Player_10,3,1,4,0,None,None,57.35,11.23,loss,SRH
11,2023-04-08,GT,MI,Ahmedabad,GT,bat,2,MI,GT,1,1,Player_54,Player_6,1,1,2,1,Player_8,caught,64.75,6.72,win,MI
23,2023-05-11,SRH,PBKS,Bangalore,SRH,bat,2,SRH,PBKS,16,4,Player_14,Player_36,2,0,2,0,None,None,92.19,5.34,win,SRH
36,2023-05-01,RCB,LSG,Mumbai,LSG,field,2,RCB,LSG,1,3,Player_90,Player_15,3,1,4,0,None,None,190.88,8.99,loss,LSG
20,2023-05-14,GT,RR,Chennai,GT,field,2,GT,RR,16,6,Player_60,Player_54,2,2,4,0,None,None,73.69,10.11,win,GT
47,2023-05-30,MI,KKR,Mumbai,KKR,field,1,KKR,MI,9,2,Player_82,Player_81,2,0,2,0,None,None,141.17,8.81,loss,MI
5,2023-05-16,RR,DC,Mumbai,RR,field,2,DC,RR,10,2,Player_14,Player_83,1,0,1,0,None,None,70.33,7.11,win,DC
65,2023-05-13,KKR,CSK,Chennai,CSK,bat,1,KKR,CSK,14,6,Player_63,Player_71,5,0,5,0,None,None,181.59,9.22,loss,KKR
26,2023-04-29,LSG,PBKS,Ahmedabad,LSG,bat,2,LSG,PBKS,17,1,Player_25,Player_32,2,2,4,0,None,None,107.1,8.79,loss,PBKS
59,2023-04-18,RR,LSG,Delhi,LSG,field,2,RR,LSG,8,6,Player_73,Player_25,6,2,8,0,None,None,181.83,11.38,win,LSG
21,2023-05-05,SRH,KKR,Delhi,SRH,field,2,KKR,SRH,19,6,Player_13,Player_63,2,0,2,0,None,None,117.86,6.43,win,KKR
30,2023-05-16,RCB,MI,Bangalore,RCB,bat,1,MI,RCB,3,6,Player_92,Player_68,2,2,4,0,None,None,179.16,5.42,loss,MI
48,2023-05-17,LSG,CSK,Chennai,CSK,bat,2,CSK,LSG,16,3,Player_87,Player_24,1,1,2,0,None,None,92.6,11.6,loss,CSK
45,2023-05-21,RCB,GT,Chennai,GT,field,1,GT,RCB,6,5,Player_66,Player_29,3,2,5,1,Player_8,bowled,118.19,11.67,loss,GT
44,2023-04-16,LSG,SRH,Bangalore,SRH,bat,1,SRH,LSG,19,4,Player_73,Player_14,2,2,4,0,None,None,178.14,9.08,win,SRH
70,2023-05-06,RCB,GT,Bangalore,RCB,field,1,RCB,GT,8,4,Player_66,Player_77,5,1,6,0,None,None,165.21,9.96,win,GT
48,2023-05-08,PBKS,SRH,Bangalore,SRH,bat,2,SRH,PBKS,15,4,Player_19,Player_55,0,1,1,0,None,None,184.26,11.61,win,PBKS
24,2023-04-17,RCB,LSG,Bangalore,LSG,bat,2,LSG,RCB,4,4,Player_75,Player_68,5,0,5,0,None,None,77.6,11.56,loss,RCB
38,2023-05-19,PBKS,MI,Chennai,MI,field,2,MI,PBKS,17,3,Player_76,Player_76,4,1,5,0,None,None,183.64,6.28,loss,MI
44,2023-05-18,RCB,GT,Ahmedabad,GT,bat,2,RCB,GT,1,6,Player_5,Player_1,3,1,4,0,None,None,175.25,8.08,win,GT
50,2023-05-07,CSK,DC,Chennai,DC,field,1,DC,CSK,14,4,Player_96,Player_89,3,1,4,0,None,None,154.32,8.96,win,CSK
3,2023-05-30,RCB,DC,Ahmedabad,DC,bat,2,DC,RCB,9,6,Player_1,Player_25,1,0,1,0,None,None,121.2,6.27,win,DC
18,2023-04-05,CSK,SRH,Bangalore,CSK,bat,1,SRH,CSK,17,6,Player_16,Player_89,4,0,4,0,None,None,96.63,8.35,loss,SRH
60,2023-05-24,GT,CSK,Bangalore,CSK,field,2,GT,CSK,8,5,Player_90,Player_40,3,2,5,0,None,None,182.9,7.16,loss,GT
27,2023-05-11,PBKS,GT,Bangalore,PBKS,field,1,PBKS,GT,13,5,Player_75,Player_98,1,2,3,0,None,None,136.76,10.17,loss,GT
34,2023-04-11,RCB,DC,Delhi,RCB,bat,2,RCB,DC,12,4,Player_99,Player_46,3,2,5,0,None,None,111.04,11.84,win,DC
26,2023-04-29,MI,DC,Ahmedabad,DC,field,2,DC,MI,13,5,Player_100,Player_91,2,1,3,0,None,None,51.13,6.13,win,DC
32,2023-05-15,DC,LSG,Ahmedabad,DC,bat,1,LSG,DC,3,1,Player_83,Player_25,3,0,3,0,None,None,85.12,11.38,win,DC
65,2023-05-06,SRH,KKR,Mumbai,KKR,bat,2,KKR,SRH,5,2,Player_68,Player_25,6,0,6,0,None,None,174.55,7.8,win,SRH
39,2023-04-28,SRH,MI,Bangalore,MI,bat,2,SRH,MI,14,5,Player_21,Player_60,2,0,2,0,None,None,69.06,5.4,win,MI
30,2023-04-13,RR,PBKS,Chennai,RR,bat,2,RR,PBKS,8,2,Player_64,Player_24,2,0,2,0,None,None,102.46,11.99,win,RR
43,2023-05-04,RR,SRH,Chennai,SRH,field,2,RR,SRH,10,4,Player_30,Player_30,6,1,7,0,None,None,91.26,7.73,loss,RR
